ID	Title	Place	Price
207	[2, 53.0, 5]	Ленинский	6700000
208	[1, 31.0, 8]	Первомайский	3900000
209	[2, 51.5, 1]	Пролетарский	4600000
210	[1, 31.0, 3]	Железнодорожный	3300000
211	[0, 36.0, 1]	Ленинский	4600000
212	[0, 28.0, 1]	Советский	3300000
213	[2, 53.0, 5]	Ленинский	6700000
214	[1, 31.0, 8]	Первомайский	3900000
215	[2, 51.5, 1]	Пролетарский	4600000
216	[1, 31.0, 3]	Железнодорожный	3300000
217	[0, 40.9, 15]	Ворошиловский	5400000
218	[3, 60.0, 9]	Октябрьский	5000000
219	[2, 45.3, 5]	Советский	3350000
220	[1, 35.9, 1]	Советский	4550000
221	[1, 38.9, 4]	Кировский	7500000
222	[0, 30.0, 10]	Пролетарский	5100000
223	[2, 42.0, 13]	Октябрьский	5850000
224	[1, 31.2, 1]	Советский	4150000
225	[2, 72.0, 2]	Советский	8750000
226	[2, 47.3, 2]	Железнодорожный	7000000
227	[3, 68.0, 8]	Советский	7100000
228	[3, 85.0, 5]	Пролетарский	11500000
229	[2, 58.0, 3]	Ленинский	7800000
230	[2, 58.0, 3]	Ленинский	7800000
231	[3, 58.5, 3]	Ворошиловский	5900000
232	[2, 36.0, 3]	Ворошиловский	2700000
233	[1, 52.0, 2]	Ворошиловский	5700000
234	[2, 51.2, 5]	Ворошиловский	4577000
235	[1, 40.0, 11]	Ворошиловский	4299000
236	[1, 26.0, 5]	Ворошиловский	2999000
237	[1, 37.0, 2]	Ворошиловский	4800000
238	[2, 60.0, 4]	Советский	6800000
239	[1, 41.0, 9]	Октябрьский	3300000
240	[2, 60.0, 4]	Советский	6700000
241	[0, 26.9, 9]	Советский	4349000
242	[0, 24.5, 5]	Пролетарский	3250000
243	[2, 36.7, 1]	Октябрьский	3000000
244	[1, 30.0, 1]	Пролетарский	2750000
245	[1, 25.0, 4]	Октябрьский	3180000
246	[1, 22.0, 5]	Первомайский	2600000
247	[1, 50.0, 6]	Ленинский	8000000
248	[1, 32.0, 3]	Пролетарский	5900000
249	[3, 54.0, 9]	Октябрьский	8299999
250	[2, None, None]	Первомайский	5500000
251	[1, 38.0, 10]	Октябрьский	4100000
